AB,C,D,E,F,G,H,I,J,K,L
0x04A9A10000,"0x0392","0x0004","0x0000","0x0000","B","0x29A1","0x0000","0x0000","0x0051","0x0224","0x0F37"
0x04A9A20000,"0x0393","0x0004","0x0000","0x0000","B","0x29A2","0x0000","0x0000","0x0051","0x0225","0x0F38"
0x05D2800000,"0x0394","0x0005","0x0000","0x0000","U","0x1280","0x0000","0x0000","0x0078","0x016B","0xACD2"
0x05D28D0000,"0x0395","0x0005","0x0000","0x0000","U","0x128D","0x0000","0x0000","0x0078","0x016D","0xAD58"
0x05D2810000,"0x0396","0x0005","0x0000","0x0000","U","0x1281","0x0000","0x0000","0x0078","0x016C","0xAD06"
0x059B010000,"0x0397","0x0005","0x0000","0x0000","B","0x1B01","0x0000","0x0000","0x0078","0x0118","0x0B6C"
0x059B020000,"0x0398","0x0005","0x0000","0x0000","B","0x1B02","0x0000","0x0000","0x0078","0x0119","0x0B6D"
0x059B050000,"0x0399","0x0005","0x0000","0x0000","B","0x1B05","0x0000","0x0000","0x0078","0x011A","0x0B6E"
0x059B060000,"0x039A","0x0005","0x0000","0x0000","B","0x1B06","0x0000","0x0000","0x0078","0x011B","0x0B6F"
0x059B070000,"0x039B","0x0005","0x0000","0x0000","B","0x1B07","0x0000","0x0000","0x0078","0x011C","0x0B70"
0x059B080000,"0x039C","0x0005","0x0000","0x0000","B","0x1B08","0x0000","0x0000","0x0078","0x011D","0x0B71"
0x059B090000,"0x039D","0x0005","0x0000","0x0000","B","0x1B09","0x0000","0x0000","0x0078","0x011E","0x0B72"
0x059B100000,"0x039E","0x0005","0x0000","0x0000","B","0x1B10","0x0000","0x0000","0x0078","0x011F","0x0B73"
0x059B110000,"0x039F","0x0005","0x0000","0x0000","B","0x1B11","0x0000","0x0000","0x0078","0x0120","0x0B74"
0x059B120000,"0x03A0","0x0005","0x0000","0x0000","B","0x1B12","0x0000","0x0000","0x0078","0x0121","0x0B75"
0x059B130000,"0x03A1","0x0005","0x0000","0x0000","B","0x1B13","0x0000","0x0000","0x0078","0x0122","0x0B76"
0x059B140000,"0x03A2","0x0005","0x0000","0x0000","B","0x1B14","0x0000","0x0000","0x0078","0x0123","0x0B77"
